Date,Soldprice
2017-08-29,105000
2018-01-22,80000
2018-07-21,67000
2019-10-04,145000
2016-10-23,65000
2018-12-11,179000
2016-12-13,50000
2016-05-01,71600
2017-05-11,100000
2017-09-05,300000
2019-04-08,89000
2016-02-07,150000
2018-04-01,155000
2019-10-01,79000
2017-07-04,649000
2017-02-16,120000
2018-01-25,235000
2016-08-25,105000
2015-09-07,575000
2019-07-27,140000
2019-02-13,50000
2018-11-27,165000
2016-11-16,189000
2015-10-11,115000
2015-10-01,122500
2015-09-19,255000
2018-05-24,425000
2015-10-06,93000
2017-08-02,75000
2015-10-26,469000
2016-06-19,189000
2017-08-27,225000
2016-10-10,495000
2018-09-28,220000
2018-10-31,70500
2017-11-16,305000
2018-01-21,475000
2015-09-18,195000
2017-06-24,120000
2018-11-26,650000
2018-10-30,555000
2019-01-16,390000
2017-09-02,400000
2016-03-13,380000
2019-01-12,95000
2017-11-13,74000
2018-05-19,139500
2018-05-02,149900
2016-12-24,180000
2017-12-02,249000
2017-10-09,252000
2016-10-08,160000
2019-09-17,90000
2017-07-12,500000
2015-11-22,339000
2017-02-28,265000
2015-11-11,1000000
2017-01-22,389000
2018-11-28,575000
2018-07-15,35000
2018-03-01,58000
2019-10-03,85000
2017-01-02,47000
2015-11-13,720000
2016-12-27,375000
2018-02-11,50000
2018-01-13,325000
2016-05-05,39500
2018-01-14,249500
2017-02-27,1399000
2019-01-07,600000
2018-07-25,649000
2015-12-27,189000
2016-05-25,150000
2015-08-21,74000
2019-04-05,65500
2018-10-12,67500
2018-02-13,74000
2018-12-06,130000
2017-08-03,95000
2019-09-08,329000
2019-10-31,130000
2016-11-30,94770
2018-07-20,150000
2017-02-16,165000
2019-04-02,215000
2015-09-02,630000
2018-03-17,215000
2016-08-06,115000
2017-08-06,99000
2017-07-11,850000
2017-07-31,140000
2018-07-28,499000
2019-07-07,180000
2016-12-20,225900
2017-12-19,260000
2016-04-29,311079
2017-12-26,500000
2016-07-04,225000
2017-02-02,28000
2019-09-01,425000
2019-04-08,300000
2016-06-07,759000
2015-09-20,299000
2015-12-31,550000
2017-05-25,234090
2018-02-12,447200
2018-07-09,350000
2018-03-01,750000
2017-08-24,470000
